id,bottle_id,event_type,quantity_change,purchase_price,purchase_source,notes,event_date,user_id
0060a074-9477-4f34-b4e8-7d3ad107595f,a5d8be95-7837-4d37-9eaf-5b8da4e805d1,added,1,,,,2025-12-26 06:50:00.615048+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
0490d6fa-c584-465c-a770-0103dd474dba,a7186cc2-2ddc-45b9-80af-210949cdd587,finished,-1,,,,2025-12-27 03:57:20.277378+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
105cb520-1608-40aa-906a-b560b36f9f68,8cce4adf-8631-4100-bd44-4880a8423639,added,1,,,,2025-12-27 03:38:49.851373+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
16413eb3-03bd-48e9-ae76-6c37d96f56c1,224dc018-11ea-4c7d-a758-5d1ce896b3a7,added,1,,,,2025-12-27 03:37:57.40873+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
179872d1-0611-47f2-9832-7e71c377ac6c,8b144272-583d-469d-a9c5-68a9480e44d3,added,1,,,,2025-12-27 03:29:07.694746+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
215baa46-5ae8-406f-96f2-204cdd014c3d,139b267e-8904-4b71-9b05-ca55f294b00e,added,1,,,,2025-12-27 04:04:47.621102+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
29a75424-6e7f-415a-ad3e-aba8c2c13709,329f4692-e22d-4946-a9b7-7c1d8176db63,added,1,,,,2025-12-27 04:00:11.631198+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
326713c4-ac76-4631-b7f1-f7e1ed3ed5ce,bd6e11cb-dd34-4e7e-acdf-b8e818f934af,added,1,,,,2025-12-26 06:50:33.030498+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
36274923-52f7-4125-9b58-c10302659207,ad0868ed-e42f-4536-bb76-41154c177eed,added,1,,,,2025-12-27 03:21:43.438+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
3c44d71e-e748-4f0d-9743-395226128c2d,755f9d05-b722-4fed-b171-07c73c67c6bd,added,1,,,,2025-12-27 03:42:55.337748+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
4058a067-b8d9-4b12-bed0-0b0f863fe280,ae45185e-5599-4603-bb2b-af66dacfaf75,added,1,,,,2025-12-27 03:31:19.545278+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
45739eb6-3cd3-4ccf-b6f9-d83a29adbad9,278d1edc-5b74-4b6c-b654-657f7d4097ff,added,1,,,,2025-12-27 04:03:53.111605+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
478725b6-88ac-46c0-94cf-1ac80184314f,cc246d5a-154b-4040-a986-5e9490068f5d,added,1,,,,2025-12-27 03:15:58.385654+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
47b17a15-1246-4adb-9b42-d45311929c09,975f6a8f-b66d-4d61-b0d8-5b17bb24e959,added,1,,,,2025-12-27 03:59:44.204345+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
49a8bf88-e49c-47d2-8947-6f474461ae94,63e9a9ff-87af-4387-aee9-5e7a0226789b,added,2,,,,2025-12-27 03:44:52.89899+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
49e03f20-f8f8-42eb-9bc3-4196371eb6a2,aeb93aaa-332a-494e-be17-5d4393a492e0,added,1,,,,2025-12-27 03:22:12.948896+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
4d4d9782-e15d-428e-98db-e492ce3d2561,3f093504-ac90-4e6d-853c-e8d40c074b42,added,1,,,,2025-12-26 07:54:16.216588+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
587ebf41-6f64-442e-b47b-11450a56458c,72fd66ca-33ff-4562-a5c3-daecc0f5ea3b,added,1,,,,2025-12-27 03:08:43.694863+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
668e415d-b14c-4d0f-a519-a0efc7678167,310b2a1b-7211-4012-8620-51c3aa1d7b2e,added,1,,,,2025-12-27 03:52:07.898042+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
6a34f186-f7a2-4b39-8de6-8048795ead46,2daa2a8b-0a10-4725-ab88-b2881193a43e,added,1,,,,2025-12-27 03:32:28.81512+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
6aaf160e-cf65-482a-b3f8-a05bdc6046a2,db9a145e-0387-44e6-b48b-19cdaee3fcf6,added,1,,,,2025-12-27 03:30:20.242139+00,ee9192f0-8e96-4ec0-bd4a-c9ce842868c0
